"Game ID";"Game Name"
"129917";"Click Manga - Opera-za No Kaijin"
"129918";"Click Medic"
"19465";"Clock Tower"
"19904";"Clock Tower - The First Fear"
"19606";"Clock Tower 2 - The Struggle Within"
"152844";"Clockwerx"
"129920";"Club Solaris - Miss Goda"
"129921";"Cocktail Harmony"
"19916";"Lifeforce Tenka"
"19517";"Colin Mcrae Rally"
"19535";"Colin Mcrae Rally 2.0"
"20534";"College Slam"
"19440";"Colony Wars"
"19604";"Colony Wars - Vengeance"
"19749";"Colony Wars - Red Sun"
"129923";"Colorful Logic"
"129924";"Colorful Logic 2"
"194960";"Colorful Logic 3"
"129925";"Combat Choro Q"
"129927";"Combination Pro Soccer"
"19352";"Command And Conquer"
"214667";" Command and Conquer (GDI Disc)"
"214664";" Command and Conquer (NOD Disc)"
"19311";"Command And Conquer - Red Alert"
"214674";"Command and Conquer - Red Alert (Allies Disc)"
"214677";"Command and Conquer - Red Alert (Soviet Disc)"
"104666";"Command And Conquer - Red Alert - Retaliation"
"129936";"Community Pom"
"131296";"Concert - Ff - Fortissimo, Le"
"19542";"Constructor"
"202464";"Victory Boxing 2"
"20511";"Victory Boxing Contender"
"19993";"Contra - Legacy Of War"
"129938";"Conveni 2 - Zenkoku Chain Tenkai Da!, The"
"129939";"Conveni Special - Mitsu No Sekai O Dokusen Seyo, The"
"129940";"Conveni, The - Ano Machi O Dokusen Seyo"
"19698";"Cool Boarders"
"19789";"Cool Boarders 2"
"20287";"Cool Boarders 2001"
"19727";"Cool Boarders 3"
"19884";"Cool Boarders 4"
"129942";"Cosmic Race"
"20070";"Cosmowarrior Rei Zero"
"195121";"Cotton 100%"
"19975";"Countdown Vampires"
"19707";"World Cup 98"
"102813";"2002 Fifa World Cup"
"19779";"Courier Crisis"
"102981";"Chase the Express"
"129943";"Cowboy Bebop"
"19282";"Crash Bandicoot"
"19270";"Crash Bandicoot 2 - Cortex Strikes Back"
"19262";"Crash Bandicoot 3 - Warped"
"430955";"Crash Bandicoot Collection"
"19272";"Crash Bash"
"19266";"Crash Team Racing"
"490817";"Crash Team Racing - Retro-Fueled"
"132347";"Crayon Shin-chan - Ora To Omoide Tsukuruzo! (kid Station)"
"131640";"Crazy Balloon 2000 (superlite 1500 Series)"
"152583";"Crazy Climber 2000"
"129946";"Creature Shock"
"19709";"Creatures"
"20679";"Creatures Raised In Space"
"129947";"Cricket 2000"
"20618";"Crime Crackers"
"129948";"Crime Crackers 2"
"20258";"Crime Killer"
"20058";"Crisis Beat"
"129949";"Crisis City"
"129950";"Critical Blow"
"20411";"Critical Depth"
"20415";"Criticom"
"19541";"Croc 2"
"19412";"Croc - Legend Of The Gobbos"
"129951";"Croket! Kindan No Kinka Box!"
"129952";"Cross Romance - Koi to Mahjong to Hanafuda to"
"129953";"Cross Tantei Monogatari"
"104670";"Crossroad Crisis"
"131641";"Crossword (superlite 1500 Series)"
"131642";"Crossword 2 (superlite 1500 Series)"
"131643";"Crossword 3 (superlite 1500 Series)"
"19610";"Crusader - No Remorse"
"19783";"Crusaders Of Might And Magic"
"129956";"Crw - Counter Revolution War"
"20259";"Crypt Killer"
"102978";"Ct Special Forces"
"19915";"Ct Special Forces - Back To Hell"
"20008";"Ct Special Forces 3 - Bioterror"
"129957";"Cu-on-pa"
"102980";"Cubix Robots For Everyone - Race'n Robots"
"129960";"Culdcept - Expansion"
"269084";"Culdcept - Expansion Plus"
"194961";"Curiosity Kills The Cat Koukishin Wa Neko O Korosu Ka"
"131713";"Curling (superlite 1500 Series)"
"129961";"Cyber Daisenryaku - Shutsugeki! Harukatai"
"129962";"Cyber Egg - Battle Champion"
"129963";"Cyber Org"
"129964";"Cyberbots - Full Metal Madness"
"19986";"Cyberia"
"129965";"Cybernetic Empire"
"20512";"Cybersled"
"20586";"Cyberspeed"
"20341";"Cyber Tiger"
"129967";"Cyberwar"
"131478";"Cyborg 009 - The Block Kuzushi (2000 Series)"
"19415";"D"
"191776";"Dai-3-ji Super Robot Taisen"
"20306";"Dai-4-ji Super Robot Taisen S"
"106784";"Daibouken Deluxe - Haruka Naru Umi"
"129969";"Daikoukai Jidai 2"
"129970";"Daikoukai Jidai 4 - Porto Estado"
"108021";"Daikoukai Jidai Gaiden"
"129971";"Daiobake Yashiki - Hamamura Jun No Jitsuwa Kaidan"
"129972";"Daisenryaku - Master's Combat"
"106785";"Daisenryaku - Player's Spirit"
"106786";"Dakar '97"
"155046";"Dalmatians 2"
"155045";"Dalmatians, The"
"106787";"Damdam Stompland"
"117545";"Dance - Uk Extra Trax"
"20260";"Dance Dance Revolution"
"129973";"Dance Dance Revolution - Best Hits"
"152847";"Dance Dance Revolution - Extra Mix"
"20529";"Dance Dance Revolution 2nd Remix"
"460832";"Dance Dance Revolution 2nd Remix - Append Club Version Vol. 1"
"106788";"Dance Dance Revolution 2nd Remix - Append Club Version Vol. 2"
"106789";"Dance Dance Revolution 3rd Mix"
"20644";"Dance Dance Revolution 4th Remix"
"106790";"Dance Dance Revolution 5th Mix"
"102991";"Dancing Stage - Disney Mix"
"102990";"Dance Dance Revolution - Konamix"
"20385";"Dance Europe"
